Plant Category,Seed Name,Average Temperature (2 m),Average Precipitation per day,Average Soil Temperature (0 to 6 cm),Average Soil Moisture (0-3 cm),Average Evapotranspiration,Average Sunshine Duration,Humidity(%),Soil Type,Best Growing Areas,Season,Wind Threshold(km/h),Heat Wave Maximum Temperature (°C),Rainfall Alert Maximum Rain (mm),Watering (hours interval),List of Fertilization,Time Period for Fertilization (weeks interval),Maximum Height of Plant (inches),maximum area this plant require(inches),soil depth for sowing(inches),Plant name
Herb,Lippia dulcis,27,5,25,0.3,4,6000,70,"[""Sandy loam"",""Loamy sand"",""Clay loam""]","[""Tropical regions"",""Subtropical regions""]","[""Year-round"",""Start of summer""]",40,35,20,24,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4,24,12,0.5,lippia dulcis
Perennial,Lippia mexicana,25,5,20,0.3,3,3600,70,"[""Sandy loam"",""Clay loam"",""Silty loam""]","[""Texas"",""Mexico"",""Florida""]","[""Late spring"",""Summer"",""Early fall""]",40,35,30,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,0.5,lippia mexicana
Herb,Lippia scaberrima,25,5,20,0.3,3,3000,60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Tropical regions"",""Subtropical regions""]","[""Year-round"",""Start of summer""]",30,40,20,48,"[""Organic compost"",""Slow-release fertilizer""]",8,24,12,0.5,lippia scaberrima
Flowering Plant,Tagetes lemmonii,20,5,18,0.3,4,3600,60,"[""Well-drained"",""Sandy"",""Loamy""]","[""Mediterranean"",""Subtropical"",""Temperate""]","[""Spring"",""Summer"",""Fall""]",40,35,20,48,"[""NPK"",""Compost""]",4,36,24,0.5,tagetes lemmonii
Perennial,Hemerocallis lilioasphodelus,20,5,18,0.3,3,6000,70,"[""Loam"",""Sandy"",""Clay""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer""]",40,35,20,48,"[""10-10-10"",""20-20-20""]",4,36,12,1,hemerocallis lilioasphodelus
Perennial,Hemerocallis Fulva,22,5,18,0.2,4,6000,60,"[""Loam"",""Clay"",""Sandy""]","[""North America"",""Europe"",""Asia""]","[""Late Spring"",""Summer""]",40,35,20,48,"[""10-10-10"",""20-20-20""]",6,30,24,1,hemerocallis fulva
Perennial,Tamarindus indica,30.5,10,28,0.4,5,8,70,"[""Sandy loam"",""Clay loam"",""Laterite""]","[""Tropical regions"",""Subtropical regions""]","[""Start of summer"",""Rainy season""]",40,45,100,48,"[""Organic compost"",""NPK fertilizer""]",12,80,120,3,tamarindus indica
Evergreen Conifer,Abies alba,10.6,3.2,12.8,0.42,2.1,18000,70,"[""Loamy"",""Sandy"",""Clayey""]","[""Central Europe"",""Caucasus"",""Carpathian Mountains""]","[""Late Spring"",""Early Summer""]",40,35,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",8,160,48,0.4,abies alba
Perennial,Silene vulgaris L.,18,5,15,0.4,3,3000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""Asia"",""North America""]","[""Spring"",""Summer"",""Fall""]",30,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,0.5,silene vulgaris l.
Shrub,Zanthoxylum simulans,25,5,22,0.3,4,3600,70,"[""Loam"",""Clay""]","[""North America"",""East Asia""]","[""Spring"",""Summer""]",40,35,20,48,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4,120,36,1,zanthoxylum simulans
Aquatic Plant,Myriophyllum spicatum,20,5,18,0.4,4,18000,70,"[""Clay"",""Loam"",""Silt""]","[""North America"",""Europe"",""Asia""]","[""Summer"",""Autumn""]",30,35,50,48,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4,48,36,2,myriophyllum spicatum
Perennial Herb,Centaurium erythraea,20,3,18,0.5,4,6000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Europe"",""Mediterranean region"",""North Africa""]","[""Spring"",""Summer""]",30,35,10,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",12,20,10,0.2,centaurium erythraea
Herb,Chenopodium ambrosioides,20,5,18,0.3,3,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Tropical regions"",""Subtropical regions"",""Warm temperate regions""]","[""Spring"",""Summer"",""Autumn""]",30,35,50,24,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,48,12,1,chenopodium ambrosioides
Grass,Schoenoplectus tabernaemontani,25,5,20,0.4,3,6000,60,"[""Sandy loam"",""Clay loam"",""Peat""]","[""Wetlands"",""Marshes"",""Ponds""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""NPK"",""Organic compost""]",4,60,12,2,schoenoplectus tabernaemontani
Grass,Schoenoplectus triqueter,20,5,18,0.3,3,3600,60,"[""Sandy loam"",""Clay loam"",""Peat soil""]","[""Wetlands"",""Marshes"",""Ponds""]","[""Spring"",""Summer""]",30,35,20,24,"[""Nitrogen-rich fertilizer"",""Phosphorus-rich fertilizer""]",4,36,12,1,schoenoplectus triqueter
Grass,Schoenoplectus mucronatus,20,5,18,0.3,4,3600,70,"[""Sandy loam"",""Clay loam"",""Peat""]","[""Wetlands"",""Ponds"",""Marshes""]","[""Spring"",""Summer"",""Fall""]",40,35,20,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,40,24,2,schoenoplectus mucronatus
Grass,Schoenoplectus pungens,20,5,18,0.4,2,300,60,"[""Loam"",""Silt"",""Clay""]","[""Wetlands"",""Marshes"",""Ponds""]","[""Spring"",""Summer""]",40,35,15,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,48,24,2,schoenoplectus pungens
Perennial herb,Succisa pratensis,15,5,12,0.3,3,600,60,"[""Loam"",""Sandy loam""]","[""Europe"",""North America""]","[""Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""Slow-release fertilizer""]",8,24,12,0.5,succisa pratensis
Herb,Thymus pulegioides,18,5,15,0.3,4,3600,50,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Europe"",""North America""]","[""Late Spring"",""Summer""]",30,35,20,48,"[""Compost"",""Organic Fertilizer""]",4,12,12,0.2,thymus pulegioides
Herb,Coleus amboinicus,25-35,5-10,25-30,0.3-0.5,3-5,6-8,50-70,"[""Well-drained"",""Sandy loam"",""Clay loam""]","[""Tropical regions"",""Subtropical regions""]","[""Year-round"",""Summer"",""Monsoon""]",20,40,50,24-48,"[""Organic compost"",""Slow-release granular fertilizer""]",4-6,24,12x12,0.25-0.5,coleus amboinicus
Perennial Herb,Thymus herba-barona,18,2.5,15,0.25,3,25000,60,"[""Well-drained sandy loam"",""Loam"",""Silt loam""]","[""Mediterranean region"",""Central Europe"",""North America""]","[""Spring"",""Summer"",""Fall""]",30,35,10,48,"[""Organic compost"",""Slow-release balanced fertilizer""]",4,6,12,0.25,thymus herba-barona
Perennial Herb,Thymus Mastchina,20,5,18,0.3,3,18000,60,"[""Well-drained soil"",""Sandy soil""]","[""Mediterranean region"",""Southern Europe"",""Northern Africa""]","[""Spring"",""Summer""]",30,35,20,48,"[""All-purpose fertilizer"",""Compost""]",4,8,12,0.2,thymus mastchina
Perennial Herb,Thymus fragrantissimus,22,3,18,0.25,2,24000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Mediterranean region"",""Western Asia"",""North Africa""]","[""Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,12,12,0.2,thymus fragrantissimus
Herb,Thymus citriodorus,20,5,18,0.3,4,2400,65,"[""Loam"",""Sandy"",""Clay""]","[""Mediterranean"",""Subtropical"",""Temperate""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""NPK 10-10-10"",""Compost""]",4,12,12,0.5,thymus citriodorus
Epiphyte,Tillandsia sp.,20 °C,5 mm,22 °C,0.5 m³/m³,3 mm/day,600 seconds,60%,"[""Well-drained soil"",""Sandy soil"",""Loamy soil""]","[""Tropical rainforests"",""Subtropical regions"",""Coastal areas""]","[""Year-round"",""Start summer""]",50 km/h,35 °C,50 mm,2 hours,"[""Liquid fertilizer"",""Slow-release granular fertilizer""]",4 weeks,12 in,24 in,0.5 in,tillandsia sp.
Annual Flower,Titonia Rotundifolia,26,5,21,0.25,4,3600,60,"[""Loamy"",""Sandy""]","[""Tropical regions"",""Subtropical regions""]","[""Summer"",""Rainy season""]",30,35,20,48,"[""Organic compost"",""Balanced NPK fertilizer""]",4,48,36,0.5,titonia rotundifolia
Perennial,Atropa Belladonna,15,5,18,0.4,3,6000,60,"[""Loamy"",""Sandy""]","[""Europe"",""North America""]","[""Spring"",""Summer""]",30,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,60,24,0.2,atropa belladonna
Fruit Plant,Lycopersicon esculentum,25,5,20,0.3,2,6000,60,"[""Loam"",""Sandy loam"",""Silt loam""]","[""Mediterranean region"",""Central and South America"",""Southern Europe""]","[""Start summer"",""Year-round in tropical regions""]",40,35,50,48,"[""NPK 10-10-10"",""Organic compost""]",4,72,24,0.5,lycopersicon esculentum
Fruit-bearing plant,Lycopersicum esculentum,24.5,5.3,18.2,0.35,4.8,27000,65,"[""Loam"",""Sandy loam"",""Silt loam""]","[""Mediterranean region"",""Central America"",""Southeast Asia""]","[""Spring"",""Summer"",""Autumn""]",40,35,50,48,"[""NPK"",""Compost"",""Organic fertilizers""]",2,60,24,0.5,lycopersicum esculentum
Fruit,Physalis ixocarpa,20,5,18,0.3,3,6000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mexico"",""Central America"",""Southwestern United States""]","[""Start summer"",""Late summer"",""Early fall""]",20,35,50,48,"[""NPK fertilizer"",""Compost""]",4,60,24,0.5,physalis ixocarpa
Perennial,Helianthus tuberosus,20,5,15,0.3,4,6000,60,"[""Loamy"",""Sandy"",""Clayey""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer""]",40,35,50,48,"[""NPK"",""Compost""]",4,120,24,4,helianthus tuberosus
Perennial Herb,Astragalus membranaceus,20,5,18,0.25,3,30000,50,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""China"",""Korea"",""Mongolia""]","[""Late Spring"",""Summer"",""Early Autumn""]",30,35,50,48,"[""Organic compost"",""Nitrogen-rich fertilizer""]",6,24,12,0.5,astragalus membranaceus
Flowering plant,Astragalus glycophyllus,25,5,20,0.4,3,600,50,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Southwest United States"",""Northern Mexico""]","[""Late spring"",""Summer""]",30,40,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,24,12,2,astragalus glycophyllus
Shrub,Prunus padus,18,5,15,0.35,3,28800,70,"[""Loam"",""Clay"",""Sandy""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",40,35,30,48,"[""NPK"",""Compost""]",8,240,48,0.5,prunus padus
Grass,Bromus grossus,20,10,15,0.4,5,6000,60,"[""Loam"",""Clay"",""Sandy""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",40,35,50,24,"[""Nitrogen-based"",""Phosphorus-based""]",4,24,12,2,bromus grossus
Grass,Bromus Secalinus,15-25,2-5,10-20,0.2-0.3,3-5,3000-3500,60-80,"[""Loamy"",""Sandy""]","[""North America"",""Europe""]","[""Spring"",""Summer""]",20-40,30-35,50-100,24-48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4-6,24-36,12-18,0.5-1,bromus secalinus
Flowering Vine,Ipomoea hederifolia,25,5,22,0.3,4,3600,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Tropical regions"",""Subtropical regions""]","[""Year-round"",""Start of summer""]",30,40,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,120,36,0.5,ipomoea hederifolia
Flowering Vine,Ipomoea x imperialis,25,5,20,0.4,3,18000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Tropical regions"",""Subtropical regions""]","[""Summer"",""Monsoon""]",40,35,50,48,"[""NPK fertilizer"",""Organic compost""]",6,72,144,0.5,ipomoea x imperialis
Tree,Catalpa bignonioides,20,5,15,0.3,3,6000,70,"[""Loam"",""Clay""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer""]",40,35,50,48,"[""NPK"",""Compost""]",4,60,100,1,catalpa bignonioides
Herbaceous Perennial,Bunias orientalis,20,5,18,0.3,3,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""Asia"",""North America""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,60,24,0.5,bunias orientalis
Tuberous Vegetable,Ullucus Tuberosus,20,10,18,0.4,5,3600,70,"[""Loamy"",""Sandy loam"",""Clay loam""]","[""Andean region"",""Central America"",""Himalayan region""]","[""Start of summer"",""Rainy season"",""Cool season""]",30,30,50,24,"[""Nitrogen-based fertilizers"",""Potassium-based fertilizers""]",4,24,12,4,ullucus tuberosus
Tree,Ulmus glabra,5 - 20,2 - 5,10 - 15,0.2 - 0.4,2 - 5,18000 - 22000,40 - 70,"[""Loam"",""Clay"",""Sandy""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",30,35,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,100,1000,4,ulmus glabra
Tree,Ulmus minor,10 to 25,2 to 5,15 to 20,0.3 to 0.5,4 to 6,6 to 8,40 to 60,"[""Loam"",""Silt"",""Clay""]","[""Europe"",""North America""]","[""Spring"",""Summer""]",50,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4 to 6,40 to 80,60 to 100,0.5 to 1,ulmus minor
Fungi,Hypsizygus ulmarius,19.5,5,16.8,0.35,4.5,25000,75,"[""Loamy"",""Sandy loam"",""Clay loam""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Autumn""]",30,32,20,48,"[""Compost"",""Mushroom spawn""]",4,8,24,1,hypsizygus ulmarius
Flowering plant,Viola odorata,20,5,18,0.4,3,6000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Woodlands"",""Shaded areas""]","[""Spring"",""Early summer""]",40,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,8,12,0.2,viola odorata
Perennial,Viola Canina,15,5,18,0.3,3,24000,50,"[""Loamy"",""Sandy""]","[""Europe"",""North America""]","[""Spring"",""Summer""]",40,35,20,48,"[""NPK fertilizers"",""Organic compost""]",4,8,12,0.2,viola canina
Flowering Plant,Scandix pecten-veneris,18,3,15,0.4,5,300,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Europe"",""North Africa"",""Western Asia""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""NPK 10-10-10"",""Compost"",""Fish Emulsion""]",4,24,36,0.2,scandix pecten-veneris
Perennial,Rosa multiflora,20,5,15,0.3,3,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer""]",40,35,50,48,"[""Organic compost"",""Slow-release fertilizer""]",6,120,36,1,rosa multiflora
Perennial,Helianthus x multiflorus,22,5,18,0.3,4,24000,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer""]",40,35,20,48,"[""Compost"",""Organic fertilizer""]",6,72,48,1,helianthus x multiflorus
Perennial legume,Vicia cracca,18,5,15,0.3,3,6000,60,"[""Sandy loam"",""Loamy sand"",""Clay loam""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer""]",30,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,36,12,2,vicia cracca
Evergreen Shrub,Juniperus communis,-10,5,10,0.3,3,30000,50,"[""Loam"",""Sandy"",""Clay""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",12,144,48,1,juniperus communis
Cactus,Hylocereus triangularis,25,5,20,0.2,3,3600,60,"[""Sandy loam"",""Loam"",""Clay""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",50,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,120,48,1,hylocereus triangularis
Perennial Herb,Galium odoratum,10-20,2-4,10-15,0.3-0.6,3-5,18000-20000,40-60,"[""Loamy"",""Sandy""]","[""Shaded Woodland"",""Moist Areas""]","[""Spring"",""Summer""]",30,30,10,48-72,"[""Organic Compost"",""Slow-release Fertilizer""]",4-6,8-12,12,0.25-0.5,galium odoratum
Perennial,Clematis spec.,18,5,15,0.3,3,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Subtropical regions""]","[""Spring"",""Summer"",""Fall""]",40,35,40,72,"[""Organic compost"",""Slow-release granular fertilizer""]",4,72,36,0.5,clematis spec.
Perennial Vine,Clematis tibetana,15,5,18,0.3,3,6000,50,"[""Loam"",""Sandy loam""]","[""Temperate regions"",""Mountainous areas""]","[""Spring"",""Summer""]",40,35,20,48,"[""Slow-release granular fertilizer"",""Liquid fertilizer""]",4,120,36,0.5,clematis “tibetana”
Perennial,Clematis Fusca,20,5,18,0.4,3,18000,60,"[""Loamy"",""Sandy""]","[""Temperate regions"",""Mediterranean climates""]","[""Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""Balanced slow-release fertilizer""]",4,120,18,2,clematis fusca
Climbing vine,Clematis vitalba,18,5,15,0.4,3,3600,70,"[""Loam"",""Clay"",""Sandy""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",40,35,50,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,120,36,1,clematis vitalba
Perennial,Clematis serratifolia,20,5,18,0.3,3,3600,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Mediterranean climates""]","[""Spring"",""Summer""]",40,35,50,48,"[""Organic compost"",""Slow-release granular fertilizer""]",8,96,24,0.5,clemtis serratifolia
Perennial,Clematis Macropetala,10-25,1-3,15-20,0.3-0.5,2-4,3000-4000,40-60,"[""Well-drained"",""Loamy""]","[""Europe"",""North America""]","[""Spring"",""Summer""]",30,30,10,48,"[""Organic compost"",""Slow-release fertilizer""]",4-6,72,24,0.5-1,clematis macropetala
Perennial Vine,Clematis Stans,20,5,18,0.4,3,3600,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Temperate Regions"",""Subtropical Regions""]","[""Spring"",""Summer""]",40,35,20,48,"[""Organic Compost"",""Slow-release granular fertilizer""]",4,96,24,1,clematis stans
Perennial Vine,Clematis tangutica,15,5,18,0.4,3,8000,60,"[""Loam"",""Clay"",""Sandy""]","[""Europe"",""Asia"",""North America""]","[""Late Spring"",""Summer"",""Early Autumn""]",40,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",8,120,48,0.5,clematis tangutica
Perennial Vine,Clematis Potaninii,15.6,2.5,12.8,0.35,3.2,24000,65,"[""Loamy"",""Sandy"",""Well-drained""]","[""Temperate regions"",""Moderate climates""]","[""Spring"",""Summer""]",40,35,50,48,"[""Balanced NPK fertilizer"",""Organic compost""]",4,120,24,0.5,clematis potaninii
Herbaceous perennial,Eupatorium cannabinum,20,5,18,0.3,3,24000,60,"[""Loamy"",""Sandy""]","[""Europe"",""North America""]","[""Late spring"",""Summer"",""Early fall""]",30,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",6,72,36,0.5,eupatorium cannabinum
Perennial,Oenanthe spec.,24,5,18,0.4,3,3000,75,"[""Loam"",""Clay""]","[""Temperate regions"",""Wetlands""]","[""Spring"",""Summer""]",30,35,50,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,12,12,0.2,oenanthe spec.
Perennial,Oenanthe Pimpinelloides,20,5,15,0.3,3,3600,60,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""Temperate regions"",""Mediterranean climates""]","[""Spring"",""Summer""]",30,35,50,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,24,12,0.5,oenanthe pimpinelloides
Perennial,Oenanthe Silaifolia,20,5,18,0.3,3,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Subtropical regions""]","[""Spring"",""Summer""]",40,35,40,24,"[""Organic compost"",""Slow-release granular fertilizer""]",4,24,12,0.5,oenanthe silaifolia
Aquatic Plant,Trapa Natans,15-30,2-5,15-25,0.3-0.6,3-5,3000-4000,60-80,"[""Sandy soil"",""Loamy soil"",""Clay soil""]","[""Ponds"",""Lakes"",""Slow-moving rivers""]","[""Spring"",""Summer""]",10,35,10,12-24,"[""Nitrogen-rich fertilizer"",""Phosphorus-rich fertilizer""]",4-6,8-10,12,2,trapa natans
Herbaceous perennial,Polygonum hydropiper,18,4,16,0.25,3,3600,70,"[""Loam"",""Clay"",""Sandy""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",30,35,50,48,"[""Nitrogen-based"",""Phosphorus-based"",""Potassium-based""]",4,36,24,0.5,polygonum hydropiper
Herb,Plantago div. spec.,20,5,15,0.3,3,6000,60,"[""Loam"",""Sandy"",""Clay""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",40,35,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,24,12,0.5,plantago div. spec.
Herbaceous plant,Plantago major,20,5,18,0.4,3,18000,60,"[""Loam"",""Clay"",""Sandy""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",30,35,50,48,"[""Compost"",""Organic Nitrogen"",""Phosphorus""]",4,12,12,0.2,plantago  major
Herbaceous Plant,Plantago coronopus,18,5,15,0.25,3,18000,60,"[""Sandy Loam"",""Clay Loam"",""Silt Loam""]","[""Mediterranean regions"",""Coastal areas""]","[""Spring"",""Summer"",""Autumn""]",40,35,15,48,"[""NPK"",""Compost""]",4,12,24,0.5,plantago coronopus
Herbaceous perennial,Plantago lanceolata,20.5,3.2,18.2,0.3,2.8,3600,65,"[""Loam"",""Clay"",""Sandy""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",40,35,50,48,"[""Nitrogen-rich fertilizer"",""Organic compost""]",4,24,12,0.2,plantago lanceolata
Shrub,Salix sp.,20,5,15,0.3,2,600,70,"[""Loam"",""Clay"",""Silt""]","[""Temperate regions"",""Wetlands"",""Riversides""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,120,36,2,salix sp.
Perennial,Epilobium sp.,18,5,15,0.3,3,600,60,"[""Loam"",""Sandy"",""Clay""]","[""Temperate regions"",""Woodlands"",""Meadows""]","[""Spring"",""Summer"",""Fall""]",40,35,20,48,"[""Compost"",""Organic liquid fertilizer""]",4,36,12,0.2,epilobium sp.
Shrub,Rubus phoenicolasius,18,5,15,0.4,3,18000,70,"[""Loam"",""Sandy loam"",""Clay""]","[""Temperate regions"",""Subtropical regions""]","[""Late spring"",""Summer"",""Early autumn""]",30,35,20,24,"[""Organic compost"",""Slow-release granular fertilizer""]",4,72,24,0.5,rubus phoenicolasius
Perennial Herb,Ruta Graveolens,20,5,18,0.25,3,6000,60,"[""Well-drained soil"",""Sandy soil"",""Loamy soil""]","[""Mediterranean region"",""Central Europe"",""Southwest Asia""]","[""Start of spring"",""Late summer"",""Early autumn""]",30,35,20,48,"[""Compost"",""Organic seaweed fertilizer""]",4,24,18,0.5,ruta graveolens
Vines,Vitis spec.,20.5,5.2,18.7,0.25,3.8,24000,70,"[""Loamy"",""Sandy"",""Clayey""]","[""Mediterranean"",""Temperate"",""Subtropical""]","[""Spring"",""Summer"",""Autumn""]",40,35,50,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,120,100,2,vitis spec.
Tree,Crataegus sp.,20,5,18,0.3,3,6000,60,"[""Sandy loam"",""Loamy soil""]","[""Temperate regions"",""Mediterranean climates""]","[""Late spring"",""Early summer""]",40,35,50,48,"[""Organic compost"",""Slow-release fertilizer""]",8,240,100,2,crataegus sp.
Herb,Heinzelkraut,20,5,18,0.4,3,6000,60,"[""Loam"",""Sandy"",""Clay""]","[""Temperate regions"",""Mild climates""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK"",""Compost""]",4,24,12,0.5,heinzelkraut
Cereal,Triticum turgidum ssp. dicoccum var. durum,20,5,15,0.2,3,30000,50,"[""Loam"",""Clay"",""Sandy""]","[""Mediterranean region"",""North Africa"",""Southwestern United States""]","[""Spring"",""Summer""]",30,35,50,48,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4,40,12,2,triticum turgidum ssp. dicoccum var. durum
Legume,Vicia pisiformis,20,5,15,0.3,4,3600,60,"[""Loam"",""Sandy Loam""]","[""Europe"",""North America""]","[""Spring"",""Summer""]",30,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,24,12,2,vicia pisiformis
Legume,Vicia ervilia,15,3,20,0.3,4,3600,60,"[""Sandy loam"",""Silty loam"",""Clay loam""]","[""Mediterranean region"",""Middle East"",""North Africa""]","[""Late summer"",""Autumn""]",40,35,20,48,"[""NPK fertilizer"",""Compost""]",4,24,12,2,vicia ervilia
Legume,Vicia johannis,25,5,20,0.3,3,6000,60,"[""Loam"",""Clay"",""Sandy""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",20,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,20,12,2,vicia johannis
Legume,Vicia sativa var. platysperma,20,5,18,0.3,3,600,60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Temperate regions"",""Mediterranean regions"",""Coastal regions""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer"",""Potassium-based fertilizer""]",4,24,12,2,vicia sativa var. platysperma
Perennial,Thalictrum Rochebrunianum,15,5,12,0.4,3,3600,60,"[""Loam"",""Silt"",""Clay""]","[""Temperate regions"",""Woodland gardens"",""Shaded areas""]","[""Spring"",""Summer""]",30,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,48,24,0.2,thalictrum rochebrunianum
Perennial,Thalictrum aquilegifolium,20 °C,5 mm,15 °C,0.3 m³/m³,3 mm/day,600 seconds,60%,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Partial shade"",""Moist soil""]","[""Spring"",""Summer""]",40 km/h,30 °C,20 mm,48 hours,"[""Organic compost"",""Slow-release granular fertilizer""]",6 weeks,36 inches,24 inches,0.5 inches,thalictrum aquilegifolium
Tree,Prunus sp.,25,5,20,0.3,3,3000,70,"[""Loamy"",""Sandy"",""Clay""]","[""Temperate regions"",""Mediterranean climates"",""Subtropical regions""]","[""Spring"",""Summer""]",40,35,50,48,"[""NPK fertilizers"",""Organic compost""]",4,180,100,2,prunus sp.
Climbing Vine,Parthenocissus quinquefolia,20,5,15,0.2,3,3600,60,"[""Loam"",""Clay"",""Sandy""]","[""Temperate regions"",""North America"",""Europe""]","[""Spring"",""Summer"",""Fall""]",40,35,50,24,"[""Organic compost"",""Slow-release granular fertilizer""]",4,360,144,1,parthenocissus quinquefolia
Flowering Vine,Merremia Sibirica,25,5,20,0.3,3,18000,70,"[""Loam"",""Sandy loam""]","[""Tropical regions"",""Subtropical regions""]","[""Year-round"",""Start of summer""]",40,35,50,48,"[""Nitrogen-based fertilizers"",""Phosphorus-based fertilizers""]",4,120,24,1,merremia sibirica
