,Plant Category,Seed Name,Average Temperature (2 m),Average Precipitation per day,Average Soil Temperature (0 to 6 cm),Average Soil Moisture (0-3 cm),Average Evapotranspiration,Average Sunshine Duration,Humidity(%),Soil Type,Best Growing Areas,Season,Wind Threshold(km/h),Heat Wave Maximum Temprature (°C),Rainfall Alert Maximum Rain (mm),Watering (hours interval),List of Fertilization,Time Period for Fertilization (weeks interval),Maximum Height of Plant (inches),Maximum area this plant require (inches),Soil depth for sowing (inches),Plant name
639,Shrub,Rosa rugosa,10,5,15,0.4,3,3000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Coastal regions"",""Temperate zones""]","[""Spring"",""Summer"",""Autumn""]",40,35,50,48,"[""Organic compost"",""Slow-release fertilizer""]",4,96,36,4,rosa rugosa
640,Flowering Shrub,Rosa elliptica,20,5,18,0.3,3,3600,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Mediterranean region"",""Temperate regions with mild winters""]","[""Spring"",""Summer"",""Autumn""]",30,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",8,60,36,2,rosa elliptica
641,Perennial,Rosa Micrantha,22,5,18,0.3,3,3600,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Temperate regions"",""Moderate rainfall areas""]","[""Spring"",""Summer"",""Autumn""]",30,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",8,60,36,1,rosa micrantha
642,Perennial,Rosa arvensis,20,5,18,0.3,2,6000,60,"[""Well-drained sandy loam"",""Loam"",""Clay loam""]","[""Mediterranean region"",""Southern Europe"",""North Africa""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,24,"[""Organic compost"",""Slow-release granular fertilizer""]",6,48,24,0.5,rosa arvensis
643,Flowering plant,Rosa laxa,20,5,18,0.3,3,7200,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Eastern Europe"",""Caucasus""]","[""Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,48,36,2,rosa laxa
644,Perennial,Rosa vosagiaca,18,5,15,0.3,3,24000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Temperate regions"",""Mountainous areas""]","[""Spring"",""Summer"",""Autumn""]",30,35,50,48,"[""Organic compost"",""Slow-release fertilizer""]",4,48,24,2,rosa vosagiaca
645,Shrub,Rosa Rubiginosa,20,5,15,0.3,2,5000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean"",""Temperate"",""Subtropical""]","[""Spring"",""Summer"",""Autumn""]",30,35,50,48,"[""Organic compost"",""Slow-release granular fertilizer""]",8,180,48,1,rosa rubiginosa
646,Flowering plant,Rosa majalis,10-25,5-20,15-20,0.2-0.4,2-5,2400-2800,40-60,"[""Loam"",""Clay"",""Sandy""]","[""Europe"",""Asia"",""North America""]","[""Spring"",""Summer""]",30,30,30,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4-6,36-48,24-36,2-3,rosa majalis
647,Flowering Plant,Rosa sp.,15-25,5-10,15-20,0.3-0.5,3-5,18000-20000,40-70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",60-80,35-40,50-100,24-48,"[""Organic compost"",""Slow-release granular fertilizer""]",4-6,36-48,24-36,1-2,rosa sp.
648,Fruit Tree,Syzygium jambos,25,10,20,0.3,5,3000,70,"[""Loamy"",""Sandy"",""Clayey""]","[""Tropical Regions"",""Subtropical Regions""]","[""Year-round"",""Start of Summer""]",40,35,50,48,"[""NPK fertilizer"",""Organic compost""]",8,240,10000,6,syzygium jambos
649,Perennial herb,Rhodiola rosea,10,5,15,0.4,3,6000,60,"[""Well-drained sandy loam"",""Rocky soil""]","[""Mountainous regions"",""Arctic regions""]","[""Spring"",""Summer"",""Autumn""]",40,30,20,48,"[""Organic compost"",""Slow-release balanced fertilizer""]",4,20,12,0.2,rhodiola rosea
650,Herb,Rosmarinus officinalis,20,5,15,0.3,3,300,60,"[""Loam"",""Sandy"",""Clay""]","[""Mediterranean"",""California"",""Texas""]","[""Spring"",""Summer"",""Fall""]",30,35,20,48,"[""NPK 10-10-10"",""Compost"",""Fish Emulsion""]",4,36,24,0.5,rosmarinus officinalis
651,Herb,Rosmarinus angustifolia,15,5,18,0.3,2,600,60,"[""Sandy loam"",""Well-drained soil""]","[""Mediterranean region"",""California"",""Southern Europe""]","[""Spring"",""Summer""]",30,35,30,48,"[""NPK fertilizer"",""Compost""]",4,36,12,0.25,rosmarinus angustifolia
652,Tree,Aesculus spec.,15-25,5-10,10-20,0.2-0.3,3-5,2400-2800,40-60,"[""Loam"",""Sandy Loam"",""Clay""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer""]",30,35,50,24,"[""10-10-10"",""14-14-14"",""NPK""]",4-6,40-60,100,2,aesculus spec.
653,Deciduous Tree,Fagus sylvatica,10,5,15,0.3,3,18000,60,"[""Loam"",""Clay"",""Sandy""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",60,35,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,100,400,2,fagus sylvatica
654,Vegetable,Beta vulgaris var. vulgaris,18,5,15,0.3,3,3600,65,"[""Loam"",""Sandy Loam"",""Clay""]","[""Mediterranean climate regions"",""Temperate regions""]","[""Spring"",""Autumn""]",40,30,10,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,24,12,0.5,beta vulgaris var. vulgaris
655,Vegetable,Brassica napus ssp. napobrassica,20,5,15,0.2,3,600,60,"[""Loamy"",""Sandy""]","[""Temperate regions"",""Cool climates""]","[""Late spring"",""Early summer"",""Autumn""]",40,30,20,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,24,12,1,brassica napus ssp. napobrassica
656,Vegetable,Brassica rapa ssp. rapa,22,5,18,0.3,4,24000,60,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Fall""]",40,35,20,48,"[""NPK 10-10-10"",""Compost"",""Bone meal""]",2,24,12,0.5,brassica rapa ssp. rapa
657,Perennial,Geranium robertianum,15,2,10,0.3,4,18000,60,"[""Sandy loam"",""Loam"",""Clay""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",30,35,20,48,"[""NPK"",""Compost""]",4,12,12,0.2,geranium robertianum
658,Flowering plant,Crocus sativus,20,5,15,0.3,2,18000,60,"[""Loamy"",""Sandy""]","[""Mediterranean region"",""Central Asia""]","[""Autumn""]",30,40,20,48,"[""Organic compost"",""Bone meal""]",4,8,6,3,crocus sativus
659,Perennial,Salvia repens var. repens,25,5,20,0.4,3,24000,60,"[""Loam"",""Sandy Loam""]","[""Mediterranean"",""Subtropical"",""Tropical""]","[""Spring"",""Summer"",""Autumn""]",40,35,50,48,"[""NPK 10-10-10"",""Organic Compost""]",4,12,12,0.25,salvia repens var. repens
660,Herbaceous perennial,Salvia Elegans,20,2,18,0.3,4,28800,60,"[""Loam"",""Sandy Loam""]","[""Mediterranean"",""Central America"",""Mexico""]","[""Spring"",""Summer"",""Fall""]",30,35,15,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,36,24,0.2,salvia elegans
661,Perennial,Salvia dorisiana,20,5,18,0.4,3,6000,60,"[""Loamy"",""Sandy Loam""]","[""Tropical regions"",""Subtropical regions""]","[""Year-round"",""Start of summer""]",30,35,50,48,"[""Compost"",""Organic slow-release fertilizer""]",8,60,36,0.25,salvia dorisiana
662,Perennial flowering plant,Salvia darcyi,22,5,20,0.4,4,18000,60,"[""Well-drained sandy loam"",""Loam"",""Clay loam""]","[""Mexico"",""Southwestern United States""]","[""Start of summer""]",40,40,20,48,"[""Balanced NPK fertilizer""]",8,36,24,0.25,salvia darcyi
663,Perennial,Salvia hians,20,5,18,0.4,3,6000,50,"[""Loam"",""Sandy loam"",""Clay loam""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer""]",30,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,36,12,1,salvia hians
664,Flowering Plant,Salvia glutinosa,18,5,20,0.4,3,24000,60,"[""Loam"",""Sandy Loam""]","[""North America"",""Europe""]","[""Start of summer"",""Midsummer"",""Late summer""]",40,35,30,72,"[""10-10-10 NPK"",""5-10-5 NPK""]",4,36,12,0.25,salvia glutinosa
665,Perennial,Salvia Spathacea,18,5,15,0.3,3,6000,70,"[""Loam"",""Clay"",""Sandy""]","[""Coastal regions"",""Mediterranean climates""]","[""Spring"",""Summer"",""Fall""]",40,35,20,48,"[""Slow-release granular fertilizer"",""Liquid balanced fertilizer""]",4,24,12,0.5,salvia spathacea
666,Perennial,Salvia lavandulifolia,20,5,18,0.2,3,600,60,"[""Sandy loam"",""Loam"",""Clay""]","[""Mediterranean"",""Temperate"",""Subtropical""]","[""Spring"",""Summer"",""Autumn""]",30,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,0.5,salvia lavandulifolia
667,Perennial,Salvia austriaca,20,5,18,0.4,3,24000,60,"[""Sandy loam"",""Loam"",""Clay""]","[""Europe"",""North America""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,72,"[""Organic compost"",""Slow-release granules""]",6,36,12,0.25,salvia austriaca
668,Perennial,Salvia discolor,20,5,18,0.4,4,3000,60,"[""Loamy"",""Sandy""]","[""South America"",""Central America"",""Mexico""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""Complete fertilizer"",""Organic compost""]",8,24,12,1,salvia discolor
669,Perennial,Salvia uliginosa,20,5,18,0.4,3,3600,70,"[""Loamy"",""Sandy"",""Clay""]","[""North America"",""Europe""]","[""Spring"",""Summer"",""Fall""]",30,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,48,24,1,salvia uliginosa
670,Perennial Flower,Salvia Verticillata,20,5,15,0.3,3,6000,60,"[""Loam"",""Sandy Loam"",""Well-drained soil""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",30,35,20,48,"[""Compost"",""Slow-release granular fertilizer""]",8,36,24,0.25,salvia verticillata
671,Perennial,Salvia aethiopis,20,5,18,0.25,4,3600,60,"[""Sandy loam"",""Clay loam"",""Loam""]","[""Mediterranean region"",""Central Asia"",""North Africa""]","[""Spring"",""Summer"",""Autumn""]",30,35,20,48,"[""Compost"",""Organic fertilizer""]",4,36,24,0.5,salvia aethiopis
672,Ornamental Plant,Salvia Leucantha,20,5,18,0.4,3,6000,50,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Southwestern United States"",""Mexico"",""Central America""]","[""Spring"",""Summer"",""Fall""]",30,35,20,48,"[""10-10-10"",""20-20-20""]",4,48,24,1,salvia leucantha
673,Perennial,Salvia divinorum,25,5,20,0.4,3,6000,70,"[""Well-drained soil"",""Loamy soil""]","[""Mexico"",""Central America""]","[""Start of summer"",""Early fall""]",40,35,15,48,"[""Compost"",""Organic liquid fertilizers""]",4,48,36,0.1,salvia divinorum
674,Perennial,Salvia pratensis,15,5,12,0.25,3,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""North America"",""Asia""]","[""Late spring"",""Summer"",""Early fall""]",40,35,30,48,"[""10-10-10"",""16-16-16""]",4,36,12,0.5,salvia pratensis
675,Mushroom,Flammulina velutipes,14,3,12,0.4,2,18000,70,"[""Loamy soil"",""Sandy soil"",""Clay soil""]","[""East Asia"",""North America"",""Europe""]","[""Fall"",""Winter""]",25,30,10,48,"[""Organic compost"",""Mushroom spawn""]",6,5,12,2,flammulina velutipes
676,Shrub,Hippophae rhamnoides,-10,5,15,0.3,3,3600,60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Temperate regions"",""Mountainous areas""]","[""Spring"",""Summer""]",40,35,20,72,"[""Organic compost"",""Well-rotted manure""]",8,120,48,1,hippophae rhamnoides
677,Perennial Herb,Sanicula europaea,14,2,12,0.4,4,6000,60,"[""Loam"",""Sandy"",""Clay""]","[""Woodland"",""Meadows"",""Hedgerows""]","[""Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",8,20,12,0.2,sanicula europaea
678,Perennial,Matisia cordata,24,8,22,0.4,4,36000,75,"[""Loamy"",""Sandy""]","[""Tropical regions"",""Subtropical regions""]","[""Year-round""]",40,35,50,48,"[""Organic compost"",""Slow-release granular fertilizer""]",6,240,100,1,matisia cordata
679,Grain,Echinochloa frumentacea,25.3,4.7,22.1,0.25,3.2,3600,65,"[""Loam"",""Clay"",""Silt""]","[""India"",""China"",""Thailand""]","[""Start of summer"",""Monsoon""]",35,40,50,48,"[""NPK"",""Organic compost""]",4,36,12,1,echinochloa frumentacea
680,Fern,Equisetum hyemale,20,5,18,0.3,3,24000,60,"[""Loamy"",""Sandy""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer""]",30,35,50,48,"[""Nitrogen-rich fertilizer"",""Phosphorus-rich fertilizer""]",4,48,12,1,equisetum hyemale
681,Perennial,Achillea Ptarmica,18,5,15,0.4,3,600,60,"[""Loam"",""Clay"",""Sandy""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Fall""]",30,35,20,24,"[""NPK 10-10-10"",""Compost""]",4,36,12,0.25,achillea ptarmica
682,Flowering plant,Arnoglossum atriplicifolium,20,5,18,0.3,3,6000,60,"[""Sandy loam"",""Clay loam""]","[""North America"",""Southeastern United States""]","[""Spring"",""Summer""]",30,35,20,48,"[""Organic compost"",""Slow-release fertilizer""]",4,36,12,0.5,arnoglossum atriplicifolium
683,Flowering plant,Clitoria ternatea,25,5,28,0.4,3,6000,60,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""Tropical regions"",""Subtropical regions""]","[""Start of summer"",""Rainy season""]",40,40,50,24,"[""NPK fertilizers"",""Organic compost""]",4,24,36,2,clitoria ternatea
684,Flowering plant,Cardaminopsis arenaria,20,5,15,0.3,3,300,50,"[""Sandy loam"",""Loamy soil""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",30,35,20,48,"[""Nitrogen-rich fertilizer"",""Phosphorus-rich fertilizer""]",4,20,12,1,cardaminopsis arenaria
685,Perennial,Semiaquilegia ecalcarata,12.5,3,10,0.25,2,3600,50,"[""Loamy"",""Sandy""]","[""Mountain regions"",""Woodlands""]","[""Spring"",""Summer""]",40,30,10,48,"[""Organic compost"",""Slow-release fertilizer""]",4,24,16,0.25,semiaquilegia ecalcarata
686,Shrub,Chaenomeles sp.,20,5,18,0.3,3,6000,60,"[""Loam"",""Sandy Loam"",""Clay"",""Silt""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Autumn""]",40,35,20,48,"[""NPK 10-10-10"",""Compost"",""Bone Meal""]",8,48,36,2,chaenomeles sp.
687,Vegetable,Trichosanthes cucumerina ssp. anguina,25,10,20,0.3,5,300,70,"[""loam"",""sandy loam""]","[""Tropical regions"",""Subtropical regions""]","[""Start of summer"",""Monsoon season""]",30,45,50,48,"[""15-15-15 NPK"",""10-20-10 NPK""]",4,120,24,2,trichosanthes cucumerina ssp. anguina
688,Perennial,Chelone glabra,20,5,15,0.25,3,6000,60,"[""Loam"",""Clay"",""Silt""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer""]",40,35,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,36,24,0.5,chelone glabra
689,Flowering Plant,Gypsophila sp.,20-25,5-10,15-20,0.2-0.3,3-5,6000-7000,40-60,"[""Sandy"",""Loamy""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",30,30,20,24,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4-6,24,12,0.2,gypsophila sp.
690,Perennial,Iberis Amara,15,2,18,0.3,4,3600,50,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",40,35,20,72,"[""NPK"",""Organic compost""]",6,18,12,0.2,iberis amara
691,Perennial,Primula japonica,10,5,12,0.3,3,18000,60,"[""Loam"",""Silt"",""Clay""]","[""Temperate regions"",""Woodland areas""]","[""Spring"",""Summer""]",40,30,20,48,"[""General purpose liquid fertilizer"",""Slow-release granular fertilizer""]",6,24,12,0.25,primula japonica
692,Flowering plant,Primula acaulis,10-20,2-5,8-15,0.3-0.5,2-4,18000-22000,40-70,"[""Loamy"",""Sandy"",""Clayey""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",30,30,10,48-72,"[""NPK fertilizer"",""Organic compost""]",4-6,6-10,12-16,0.25-0.5,primula acaulis
693,Perennial,Agapanthus praecox,20,5,15,0.3,4,30000,60,"[""Well-drained sandy soil"",""Loamy soil""]","[""Mediterranean region"",""Southern Africa""]","[""Spring"",""Summer""]",30,35,20,48,"[""Organic compost"",""Slow-release fertilizer""]",4,36,24,2,agapanthus praecox
694,Shrub,Viburnum lantana,10,5,15,0.3,3,30000,60,"[""Loam"",""Clay"",""Sandy""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",50,35,30,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,120,36,2,viburnum lantana
695,Perennial bulbous plant,Galanthus sp.,5 - 15,2 - 5,4 - 10,0.3 - 0.6,2 - 4,4 - 6,40 - 60,"[""Well-drained soil"",""Loamy soil""]","[""Temperate regions"",""Woodlands""]","[""Late winter"",""Early spring""]",20,30,10,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4 - 6,6 - 8,12 - 16,3 - 4,galanthus sp.
696,Perennial,Helleborus dumetorum ssp. atrorubens,15,5,10,0.25,3,3600,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Partial Shade"",""Woodland Gardens"",""Under Trees""]","[""Late Winter"",""Early Spring""]",40,30,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,24,12,0.5,helleborus dumetorum ssp. atrorubens
697,Herb,Allium schoenoprasumum,18,5,15,0.3,3,3600,60,"[""Loamy"",""Sandy""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer""]",30,30,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,12,12,0.5,allium schoenoprasumum
698,Climbing vine,Eccremocarpus scaber,20,5,18,0.3,4,3600,60,"[""Loam"",""Sandy loam""]","[""Mediterranean regions"",""Coastal areas""]","[""Spring"",""Summer""]",40,30,10,24,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,120,24,0.5,eccremocarpus scaber
699,Fungus,Coprinus comatus,15,5,10,0.3,2,3000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Autumn""]",30,35,20,48,"[""Organic compost"",""Mushroom substrate""]",4,12,6,1,coprinus comatus
700,Perennial,Cephalaria Alpina,10-20,2-5,10-15,0.2-0.4,3-5,5000-6000,40-60,"[""Well-drained sandy soil"",""Loamy soil""]","[""Mountainous regions"",""Alpine meadows""]","[""Spring"",""Summer""]",40,30,10,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4-6,36-48,24-36,0.5-1,cephalaria alpina
701,Vegetable,Solanum scabrum,25,5,22,0.4,4,3600,70,"[""Loamy"",""Sandy"",""Clayey""]","[""Tropical regions"",""Subtropical regions""]","[""Year-round""]",30,35,20,48,"[""NPK fertilizer"",""Organic compost""]",4,60,24,2,solanum scabrum
702,Herbaceous Plant,Solanum nigrum ssp. schultesii,25,10,20,0.5,5,6000,70,"[""Loam"",""Sandy Loam"",""Clay""]","[""Tropical regions"",""Subtropical regions""]","[""Year-round"",""Start of summer""]",30,35,50,48,"[""NPK fertilizer"",""Organic compost""]",4,36,12,1,solanum nigrum ssp. schultesii
703,Shrub,Cytisus nigricans,20,5,15,0.3,3,300,60,"[""Loamy"",""Sandy""]","[""Mediterranean"",""Subtropical"",""Temperate""]","[""Spring"",""Summer""]",40,35,30,48,"[""Organic compost"",""Slow-release granular fertilizer""]",8,60,36,1,cytisus nigricans
704,Tree,Juglans nigra,20,5,15,0.3,3,3600,60,"[""Loam"",""Silt"",""Clay""]","[""Eastern United States"",""Canada"",""Europe""]","[""Spring"",""Summer""]",40,35,100,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",8,100,200,6,juglans nigra
705,Perennial,Iris variegata,20,5,15,0.4,4,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Central Europe"",""North America""]","[""Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",8,24,12,2,iris variegata
706,Perennial,Iris germanica,20,5,15,0.4,3,3000,50,"[""Loam"",""Clay"",""Sandy""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",40,35,20,48,"[""NPK"",""Compost""]",4,36,12,2,iris germanica
707,Flowering plant,Iris graminea,20,5,18,0.4,3,600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK fertilizer"",""Compost""]",4,12,12,1,iris graminea
708,Flowering Plant,Iris spuria,19,3,17,0.25,4,3000,60,"[""Loam"",""Sandy Loam""]","[""Europe"",""North America""]","[""Late Spring"",""Early Summer""]",40,35,20,48,"[""10-10-10"",""20-20-20""]",4,36,24,2,iris spuria
709,Perennial,Iris x germanica ssp. albicans,18,5,15,0.25,3,600,50,"[""Loam"",""Sandy Loam"",""Clay""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",40,35,50,48,"[""NPK 10-10-10"",""Compost""]",4,40,12,2,iris x germanica ssp. albicans
710,Vegetable,Beta vulgaris ssp. maritima,17,5,14,0.4,4,3000,70,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""Coastal regions"",""Mediterranean climates""]","[""Start of summer"",""Autumn""]",30,35,50,48,"[""NPK fertilizers"",""Organic compost""]",4,24,12,1,beta vulgaris ssp. maritima
711,Aquatic,Nymphoides peltata,25,5,22,0.6,4,300,70,"[""Silt"",""Clay""]","[""Ponds"",""Lakes""]","[""Spring"",""Summer""]",20,30,50,48,"[""Liquid fertilizer"",""Aquatic plant fertilizer""]",4,12,144,2,nymphoides peltata
712,Ornamental Tree,Albizia julibrissin,25,2,20,0.3,4,30000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Mediterranean region"",""Southern United States"",""Eastern Asia""]","[""Late spring"",""Summer""]",40,35,20,48,"[""Slow-release fertilizer"",""Organic compost""]",8,300,500,0.5,albizia julibrissin
713,Perennial,Asclepias curassavica,25,5,20,0.3,4,6000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Tropical regions"",""Subtropical regions""]","[""Year-round"",""Starts in Summer""]",40,35,20,48,"[""Slow-release fertilizer"",""Organic compost""]",4,48,24,0.25,asclepias curassavica
714,Perennial,Lepidium latifolium,21,3.5,18,0.35,4.2,18000,60,"[""Loamy soil"",""Sandy soil"",""Clay soil""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer""]",50,35,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,48,24,0.5,lepidium latifolium
715,Vegetable,Brassica campestris,20,5,18,0.3,3,24000,60,"[""Loamy"",""Sandy""]","[""Temperate regions"",""Cool climates""]","[""Spring"",""Fall""]",30,35,50,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,30,12,0.5,brassica campestris
716,Herbaceous,Sesame,25,2,28,0.3,4,6000,60,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""India"",""China"",""Sudan""]","[""Summer"",""Monsoon""]",30,40,50,48,"[""NPK fertilizer"",""Organic compost""]",4,48,12,1,sesamum indicum
717,Fungus,Lentinula edodes,12,4,10,0.4,2,6000,80,"[""Loamy"",""Sandy"",""Clayey""]","[""Japan"",""China"",""Korea""]","[""Autumn"",""Winter""]",40,35,20,24,"[""Organic compost"",""Mushroom substrate""]",4,8,12,2,lentinula edodes
718,Shrub,Heptacodium miconioides,20,5,18,0.4,3,3600,60,"[""Loam"",""Sandy loam""]","[""China"",""United States"",""Europe""]","[""Late spring"",""Summer"",""Early fall""]",30,35,50,48,"[""Organic compost"",""Slow-release granular fertilizer""]",8,120,72,0.5,heptacodium miconioides
719,Biennial,Lunaria annua,15,5,12,0.3,3,30000,60,"[""Well-drained sandy loam"",""Loamy soil"",""Clay soil""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",40,30,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,36,12,0.25,lunaria annua
720,Perennial,Carlina acaulis,15°C,2 mm,12°C,0.2 m³/m³,3 mm/day,3600 seconds,70%,"[""Sandy loam"",""Loamy sand""]","[""Mountainous regions"",""Alpine meadows""]","[""Spring"",""Summer"",""Autumn""]",40 km/h,35°C,20 mm,24 hours,"[""Organic compost"",""Slow-release granular fertilizer""]",6 weeks,12 inches,10 square inches,1 inch,carlina acaulis
721,Perennial,Scabiosa Canescens,20,5,18,0.4,3,3600,60,"[""Sandy loam"",""Loamy sand"",""Clay loam""]","[""Mediterranean region"",""Southwestern United States"",""Southern Europe""]","[""Spring"",""Summer""]",30,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",8,24,12,0.2,scabiosa canescens
722,Perennial,Scabiosa columbaria ssp. pratensis,18.5,3.2,15.2,0.32,2.8,25000,65,"[""Loam"",""Sandy loam""]","[""Mediterranean region"",""Southern Europe""]","[""Spring"",""Summer""]",40,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",8,24,12,0.25,scabiosa columbaria ssp. pratensis
723,Perennial,Scabiosa ochroleuca,20,2,18,0.3,5,3600,60,"[""Sandy Loam"",""Clay"",""Loam""]","[""Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer"",""Early Fall""]",40,35,10,48,"[""NPK 10-10-10"",""Compost"",""Organic Matter""]",4,36,12,0.5,scabiosa ochroleuca
724,Flowering Plant,Scabiosa stellata,20,5,18,0.3,3,6000,50,"[""Loam"",""Sandy Loam"",""Silt""]","[""Mediterranean"",""Temperate"",""Subtropical""]","[""Spring"",""Summer"",""Autumn""]",30,35,20,48,"[""Organic compost"",""Slow-release fertilizer""]",4,24,12,0.2,scabiosa stellata
725,Perennial,Scabiosa gigantea,20,5,15,0.3,3,18000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Central Europe"",""North America""]","[""Spring"",""Summer"",""Autumn""]",30,35,20,48,"[""Organic compost"",""All-purpose liquid fertilizer""]",4,36,12,0.25,scabiosa gigantea
726,Perennial,Helianthus decapetalus,20,5,15,0.4,3,6000,50,"[""Loam"",""Sandy loam"",""Clay loam""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer""]",40,35,20,48,"[""NPK"",""Compost""]",4,72,36,1,helianthus decapetalus
727,Perennial,Helenium Autumnale,20,5,15,0.4,3,3600,70,"[""Loam"",""Clay"",""Sandy""]","[""North America"",""Europe""]","[""Late Summer"",""Fall""]",30,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,60,24,0.25,helenium autumnale
728,Flowering Vine,Schisandra chinensis,20,5,15,0.3,3,6000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""China"",""Korea"",""Russia""]","[""Spring"",""Summer"",""Autumn""]",50,35,50,24,"[""Organic compost"",""Slow-release granular fertilizer""]",4,120,36,2,schisandra chinensis
729,Legume,Tetragonolobus purpureus,25,5,20,0.3,4,3600,50,"[""Loam"",""Sandy loam"",""Clay loam""]","[""North America"",""South America"",""Europe""]","[""Spring"",""Summer""]",40,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,30,6,1,tetragonolobus purpureus
