Plant Category,Seed Name,Average Temperature (2 m),Average Precipitation per day,Average Soil Temperature (0 to 6 cm),Average Soil Moisture (0-3 cm),Average Evapotranspiration,Average Sunshine Duration,Humidity(%),Soil Type,Best Growing Areas,Season,Wind Threshold(km/h),Heat Wave Maximum Temprature (°C),Rainfall Alert Maximum Rain (mm),Watering (hours interval),List of Fertilization,Time Period for Fertilization (weeks interval),Maximum Height of Plant (inches),maximum area this plant require(inches),soil depth for sowing(inches),Plant name
Vegetable,Retiisi,20,5,15,0.3,4,3600,60,"[""Loam"",""Sandy loam""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Fall""]",30,35,20,24,"[""Nitrogen-rich fertilizer"",""Potassium-rich fertilizer""]",2,8,12,0.5,retiisi
 , ,0,0,0,0,0,0,0,[],[],[],0,0,0,0,[],0,0,0,0,reunuspietaryrtti
Vegetable,Retikka,17,3.5,15,0.35,2.5,24000,60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Temperate regions"",""Mediterranean climates""]","[""Spring"",""Autumn""]",25,35,10,48,"[""NPK 10-10-10"",""Compost"",""Manure""]",4,12,12,0.5,retikka
Vegetable,Rikkaporkkana,20,5,15,0.3,3,18000,60,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""Temperate regions"",""Mediterranean regions""]","[""Spring"",""Autumn""]",40,35,20,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,20,12,2,rikkaporkkana
Flowering Plant,Ritarinkannus,25,10,20,0.4,5,300,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",40,35,20,48,"[""Complete balanced fertilizer"",""Organic compost""]",4,24,12,0.5,ritarinkannus
Perennial,Rohtokoirankieli,20,5,15,0.3,3,18000,70,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Late spring"",""Summer"",""Early autumn""]",30,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,12,8,0.5,rohtokoirankieli
Flowering Plant,Rohtoluppio,25,10,20,0.4,5,3600,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",30,35,50,48,"[""NPK"",""Organic compost""]",4,24,12,1,rohtoluppio
Perennial,Rohtomaraljuuri,20,5,18,0.3,3,6000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Northern Europe""]","[""Spring"",""Summer""]",50,30,20,48,"[""Complete organic fertilizer"",""Slow-release granular fertilizer""]",4,24,12,1,rohtomaraljuuri
Flowering Plant,Rohtomesikkä,18,5,15,0.4,3,3000,60,"[""Loam"",""Silt"",""Clay""]","[""Northern Europe"",""Scandinavia"",""Baltic region""]","[""Late Spring"",""Summer"",""Early Autumn""]",20,30,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,24,12,1,rohtomesikkä
Flowering Plant,Rohtosormustinkukka,20,5,18,0.3,2,300,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""Baltic region"",""Scandinavia""]","[""Late spring"",""Summer"",""Early autumn""]",40,30,20,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,12,12,0.5,rohtosormustinkukka
 ,rohtopurasruoho,20 °C,5 mm,15 °C,0.5 m³/m³,3 mm/day,300 seconds,50%,"[""abc"",""abc"",""abc""]","[""abc"",""bca"",""xyz""]","[""E.g Start summer"",""abc"",""xyz""]",30 km/h,35 °C,10 mm,48 hours,"[""abx"",""afn""]",4 weeks,24 in,12 in,2 in,rohtopurasruoho
 , ,0,0,0,0,0,0,0,[],[],[],0,0,0,0,[],0,0,0,0,rohtosuopayrtti
Leafy vegetable,Rucola,18,5,15,0.3,4,3600,60,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Mediterranean region"",""North America"",""Europe""]","[""Spring"",""Fall""]",40,30,20,24,"[""Nitrogen-based fertilizer"",""Organic compost""]",3,12,12,0.5,rucola
 ,ruis 30,25 °C,10 mm,20 °C,0.3 m³/m³,5 mm/day,300 seconds,60%,"[""abc"",""abc"",""abc""]","[""abc"",""bca"",""xyz""]","[""Start summer"",""abc"",""xyz""]",20 km/h,35 °C,50 mm,24,"[""abx"",""afn""]",4,24 in,12 in,2 in,"ruis 30,"
Herb,Ruijanruohosipuli,10,5,8,0.3,3,3000,60,"[""Sandy loam"",""Clay loam"",""Peat soil""]","[""Northern Finland"",""Lapland"",""Arctic regions""]","[""Late spring"",""Summer"",""Early autumn""]",40,30,50,24,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,24,12,0.5,ruijanruohosipuli
Herb,Ruohosipuli,15,5,12,0.3,3,18000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America""]","[""Spring"",""Summer""]",30,35,20,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,12,12,0.2,ruohosipuli
Flowering Plant,Ruskolilja,22,5,18,0.4,3,6000,60,"[""Loam"",""Sandy loam"",""Clay""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",40,35,10,48,"[""NPK fertilizer"",""Organic compost""]",4,24,12,1,ruskolilja
Flowering Plant,Ruusu,18,5,15,0.3,3,3600,60,"[""Loamy"",""Sandy""]","[""Temperate regions"",""Mild coastal areas""]","[""Spring"",""Summer""]",40,35,20,48,"[""NPK fertilizer"",""Organic compost""]",4,36,24,0.5,ruusu
Vegetable,Ruusukaali,20,5,15,0.3,3,18000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""Scandinavia"",""Baltic States""]","[""Late spring"",""Summer"",""Early autumn""]",40,30,20,48,"[""Compost"",""Organic fertilizer"",""Fish emulsion""]",4,24,12,0.5,ruusukaali
Perennial,Ruusumalva,20,5,18,0.3,3,6000,60,"[""Loam"",""Clay"",""Sandy""]","[""Mediterranean"",""Subtropical"",""Temperate""]","[""Spring"",""Summer"",""Fall""]",30,35,10,72,"[""NPK"",""Organic compost""]",4,36,12,1,ruusumalva
Legume,Ruusupapu 29,18,5,15,0.3,3,3000,60,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""Northern Europe"",""North America"",""Northern Asia""]","[""Start of summer"",""Midsummer"",""Late summer""]",40,35,20,48,"[""NPK 10-10-10"",""Compost"",""Bone meal""]",4,24,12,2,"ruusupapu 29,"
Flowering Plant,Ruusupioni,20,5,15,0.3,3,6000,70,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Mediterranean regions"",""Temperate regions""]","[""Spring"",""Summer"",""Autumn""]",40,30,20,48,"[""NPK 15-15-15"",""Organic compost""]",4,36,24,1,ruusupioni
Flowering plant,Ryhmäsamettikukka,20,5,18,0.3,3,18000,60,"[""Loam"",""Clay"",""Silt""]","[""Northern Europe"",""Scandinavia"",""Baltic countries""]","[""Late spring"",""Summer""]",40,30,15,48,"[""Nitrogen-based fertilizer"",""Phosphorus-rich fertilizer""]",4,12,24,1,ryhmäsamettikukka
Flowering Plant,Saflori,25,5,20,0.3,3,6000,50,"[""Loam"",""Sandy Loam""]","[""Tropical regions"",""Subtropical regions""]","[""Year-round"",""Summer""]",40,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,36,1,saflori
Herb,Saksankirveli,18,5,15,0.25,3,18000,65,"[""Loam"",""Sandy loam""]","[""Mediterranean region"",""Central Europe""]","[""Spring"",""Summer""]",40,35,20,24,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,24,12,0.5,saksankirveli
Leafy Vegetable,Salaatti,18,5,15,0.3,3,3600,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Temperate regions"",""Northern Europe"",""North America""]","[""Spring"",""Fall""]",30,30,20,24,"[""Nitrogen-rich fertilizer"",""Potassium-based fertilizer""]",2,12,8,0.5,salaatti
Flowering plant,Salaattivoikukka,20,5,18,0.4,3,6000,60,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""Temperate regions"",""Mediterranean climates""]","[""Late spring"",""Early summer""]",30,35,10,48,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4,24,12,0.5,salaattivoikukka
Leafy vegetable,Salaattivuonankaali,15,5,12,0.3,3,3600,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""Scandinavia""]","[""Spring"",""Summer"",""Autumn""]",40,30,10,24,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,12,12,0.5,salaattivuonankaali
Legume,Salkopapu,25,5,22,0.4,3,3000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Tropical regions"",""Subtropical regions""]","[""Spring"",""Summer""]",20,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,24,12,2,salkopapu
Flowering Plant,Salkoruusu,20,5,18,0.4,3,6000,60,"[""Loam"",""Sandy loam""]","[""Temperate regions"",""Mild coastal areas""]","[""Spring"",""Summer""]",40,30,20,72,"[""Organic compost"",""Slow-release fertilizer""]",4,24,12,0.5,salkoruusu
Flower,Samettikukka,15 °C,5 mm,12 °C,0.25 m³/m³,3 mm/day,600 seconds,70%,"[""Loam"",""Clay"",""Sandy""]","[""Northern Europe"",""Scandinavia"",""Baltic countries""]","[""Late Spring"",""Summer""]",30 km/h,30 °C,20 mm,48 hours,"[""Organic compost"",""Liquid seaweed fertilizer""]",4 weeks,24 in,12 in,1 in,samettikukka
Perennial Flower,Samettikurjenmiekka,18,5,15,0.3,3,3600,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Coastal regions"",""Mild temperate areas""]","[""Late spring"",""Summer""]",40,30,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,36,12,2,samettikurjenmiekka
Vegetable,Sareptansinappi,18.5,2.3,15.2,0.25,4.7,23400,65,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2,24,12,0.5,sareptansinappi
Flowering Plant,Seittitakiainen,15,5,18,0.3,3,600,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Temperate Regions"",""Coastal Areas""]","[""Spring"",""Summer""]",30,35,20,48,"[""Organic Compost"",""Slow-release granular fertilizer""]",4,24,12,0.5,seittitakiainen
Perennial,Siankärsämö,18,5,15,0.4,3,30000,60,"[""Loam"",""Sandy Loam""]","[""Northern Europe"",""North America""]","[""Late Spring"",""Summer""]",40,30,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,36,12,0.25,siankärsämö
Perennial,Sikoangervo,18,5,16,0.3,4,24000,60,"[""Loamy"",""Sandy""]","[""Northern Europe"",""North America""]","[""Spring"",""Summer""]",30,30,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",8,24,12,0.5,sikoangervo
Flowering Plant,Sikuri,25,5,20,0.3,3,18000,60,"[""Loam"",""Clay"",""Sandy""]","[""abc"",""bca"",""xyz""]","[""Summer"",""Rainy""]",40,35,20,48,"[""abx"",""afn""]",4,24,12,2,sikuri
Flowering plant,Silkkiunikko,18,5,20,0.25,4,3600,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Europe"",""North America"",""Asia""]","[""Late spring"",""Summer""]",40,35,15,48,"[""NPK fertilizer"",""Compost""]",4,24,12,0.25,silkkiunikko
Herb,Silopersilja,25,5,20,0.3,3,600,70,"[""Sandy loam"",""Loamy soil""]","[""Mediterranean region"",""Temperate regions""]","[""Spring"",""Summer""]",40,35,20,48,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,24,12,1,silopersilja
Vegetable,"silpoydinherne 29, 30",20 °C,5 mm,15 °C,0.3 m³/m³,3 mm/day,600 seconds,60%,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Mediterranean climates""]","[""Spring"",""Summer""]",30 km/h,35 °C,20 mm,48 hours,"[""NPK fertilizer"",""Compost""]",4 weeks,24 in,12 in,2 in,"silpoydinherne 29, 30,"
Flowering plant,Sinietelänherne,20,5,15,0.3,3,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",40,35,20,24,"[""NPK fertilizer"",""Organic compost""]",4,36,12,2,sinietelänherne
Fern,Sinikämmen,10-25,5-10,15-20,0.4-0.6,3-5,18000-22000,50-70,"[""Well-drained"",""Moist"",""Loamy""]","[""Shaded areas"",""Moist forests"",""Boggy areas""]","[""Spring"",""Summer"",""Autumn""]",30,30,20,24-48,"[""General-purpose fertilizer"",""Organic compost""]",4-6,24-36,24x24,0.5-1,sinikämmen
Flowering plant,Sinikuunlilja,20,5,15,0.3,3,6000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Coastal areas"",""Mild climates""]","[""Late spring"",""Summer"",""Early autumn""]",40,35,20,24,"[""NPK fertilizer"",""Organic compost""]",4,24,12,2,sinikuunlilja
Herb,Sinilaukka,18,5,15,0.3,3,3000,60,"[""Sandy loam"",""Loam"",""Clay""]","[""Temperate regions"",""Coastal areas""]","[""Start of spring"",""Summer"",""Autumn""]",30,35,20,48,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4,12,24,1,sinilaukka
Flowering plant,Sinilupiini,20,5,15,0.3,3,12000,50,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",40,35,20,48,"[""NPK fertilizers"",""Organic compost""]",4,24,12,1,sinilupiini
Flowering plant,Sinimailanen,25,5,20,0.4,3,6000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Tropical regions"",""Subtropical regions""]","[""Year-round"",""Start of summer""]",30,35,20,48,"[""NPK fertilizer"",""Compost""]",4,36,12,2,sinimailanen
Flowering plant,Sinipallo-ohdake,22,5,18,0.4,3,12000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Temperate regions"",""Mild climate zones""]","[""Late spring"",""Summer""]",30,35,20,24,"[""NPK 10-10-10"",""Compost""]",4,36,12,1,sinipallo-ohdake
Herbaceous perennial,Sinipiikkiputki,15-25,3-5,10-15,0.2-0.4,4-6,18000-20000,60-80,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""Northern Asia"",""North America""]","[""Late spring"",""Summer"",""Early autumn""]",20-30,30-35,30-50,48-72,"[""Nitrogen-based"",""Potassium-based""]",4-6,24-36,12-18,0.5-1,sinipiikkiputki
Perennial,Sinivuokko,10,5,8,0.3,3,18000,70,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Europe"",""North America""]","[""Spring"",""Early Summer""]",40,35,20,48,"[""Organic compost"",""Slow-release fertilizer""]",8,6,8,0.4,sinivuokko
Shrub,Siperianhernepensas,18,5,15,0.3,3,24000,70,"[""Loam"",""Sandy Loam"",""Clay""]","[""Northern Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer"",""Early Autumn""]",30,35,20,48,"[""NPK"",""Compost"",""Organic Fertilizer""]",4,60,24,2,siperianhernepensas
Perennial,Siperiankurjenmiekka,20,5,15,0.3,3,3600,60,"[""Loam"",""Sandy loam"",""Clay""]","[""Northern Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer""]",40,35,20,48,"[""NPK fertilizers"",""Organic compost""]",4,36,12,4,siperiankurjenmiekka
Herb,Sitruunakissanminttu,20,5,15,0.3,3,6000,60,"[""Loamy"",""Sandy""]","[""Mediterranean region"",""Northern Europe""]","[""Spring"",""Summer""]",30,35,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,24,12,0.5,sitruunakissanminttu
Herb,Sitruunamelissa,20,5,18,0.4,3,6000,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Central Europe""]","[""Spring"",""Summer""]",40,35,20,48,"[""Nitrogen-based fertilizer"",""Organic compost""]",4,24,12,0.5,sitruunamelissa
Legume,Soijapapu,20,5,15,0.3,3,3600,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""North America"",""South America"",""Asia""]","[""Spring"",""Summer""]",30,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,36,24,2,soijapapu
Vegetable,Sokeriherne 30,15-25,5-10,10-20,0.3-0.6,2-4,4-6,40-60,"[""Loam"",""Sandy loam""]","[""Temperate regions"",""Mild climates""]","[""Spring"",""Early summer""]",30,35,20,48,"[""Nitrogen-based fertilizers"",""Phosphorus-based fertilizers""]",2-3,24,12,2,"sokeriherne 30,"
Root Vegetable,Sokerijuuri,15,5,12,0.2,3,24000,70,"[""Loam"",""Sandy Loam"",""Clay""]","[""Northern Europe"",""Scandinavia"",""Baltic States""]","[""Late Spring"",""Summer"",""Early Autumn""]",40,30,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,24,8,1,sokerijuuri
Cereal,Spelt Wheat,15,4,12,0.3,3,3000,60,"[""Loam"",""Clay"",""Silt""]","[""Europe"",""North America"",""Asia""]","[""Spring"",""Summer""]",40,30,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,48,24,2,spelttivehnä
Perennial,Stevenintähdikki,20,5,18,0.3,3,3600,70,"[""Well-drained loam"",""Sandy loam""]","[""Temperate regions"",""Subtropical regions""]","[""Spring"",""Summer"",""Autumn""]",30,35,20,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,24,12,0.5,stevenintähdikki
Leafy vegetable,Suippokaali,20,5,15,0.4,3,6000,60,"[""Sandy loam"",""Clay loam"",""Loamy soil""]","[""Northern Europe"",""Scandinavia"",""Baltic States""]","[""Late spring"",""Summer"",""Early autumn""]",40,30,20,48,"[""Compost"",""Organic liquid fertilizer""]",2,15,12,0.5,suippokaali
Flowering Plant,Suviruusu,20-25,5-10,15-20,0.2-0.3,4-6,18000-20000,60-70,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Temperate regions"",""Mediterranean climates""]","[""Late spring"",""Summer""]",30,35,50,48,"[""NPK"",""Organic compost""]",4-6,24-36,12x12,1-2,suviruusu
Perennial,Syysmaitiainen,15,5,10,0.3,3,3600,60,"[""Loam"",""Clay"",""Silt""]","[""Northern Europe"",""Scandinavia"",""Baltic States""]","[""Late Spring"",""Summer""]",20,30,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,24,12,0.5,syysmaitiainen
Perennial,Syysvuokko,10,3,8,0.35,2,30000,60,"[""Loam"",""Clay""]","[""Northern Europe"",""Scandinavia"",""Baltic region""]","[""Late summer"",""Autumn""]",30,25,10,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,12,6,0.5,syysvuokko
Flowering Plant,Särkynytsydän,20,5,18,0.3,3,18000,70,"[""Sandy loam"",""Loamy soil"",""Clay soil""]","[""Northern Europe"",""North America"",""Asia""]","[""Late Spring"",""Summer"",""Early Autumn""]",40,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,18,12,1,särkynytsydän
Perennial Flower,Särmäkuisma,22,5,18,0.4,3,6000,55,"[""Sandy loam"",""Clay loam"",""Loam""]","[""Northern Europe"",""North America""]","[""Spring"",""Summer""]",40,30,15,48,"[""NPK 10-10-10"",""Organic compost""]",4,24,12,0.5,särmäkuisma
Legume,Taitepapu 10,25,5,20,0.3,4,3600,60,"[""loam"",""sandy"",""clay""]","[""temperate regions"",""subtropical regions""]","[""Spring"",""Summer""]",40,35,30,24,"[""nitrogen-based fertilizer"",""phosphorus-based fertilizer""]",4,24,12,2,"taitepapu 10,"
Taittoydinherne 36,Taittoydinherne 36,20 °C,5 mm,18 °C,0.2 m³/m³,3 mm/day,300 seconds,60%,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""Region A"",""Region B"",""Region C""]","[""Start of summer"",""Autumn"",""Spring""]",20 km/h,35 °C,50 mm,48 hours,"[""Fertilizer A"",""Fertilizer B""]",4 weeks,24 in,12 in,2 in,"taittoydinherne 36,"
Flowering plant,Talventähti,20,5,15,0.3,3,3600,50,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""Scandinavia"",""Russia""]","[""Late spring"",""Summer"",""Early autumn""]",40,35,15,48,"[""NPK 10-10-10"",""Compost""]",4,24,12,0.5,talventähti
Winter Squash,Talvikurpitsa 28,10,3,12,0.25,2,3000,50,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""Northern Europe"",""Scandinavia"",""Russia""]","[""Late Spring to Early Summer""]",30,30,20,48,"[""Organic compost"",""NPK fertilizer""]",2,24,36,2,"talvikurpitsa 28,"
Perennial,Talvivalkosipuli,7,3,8,0.3,3.5,18000,70,"[""Well-drained soil"",""Loamy soil""]","[""Northern Europe"",""North America""]","[""Late Spring"",""Early Summer""]",40,30,15,72,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4,12,6,2,talvivalkosipuli
Leafy Vegetable,Tammenlehtisalaatti,18,5,15,0.35,3,24000,60,"[""Loam"",""Clay"",""Silt""]","[""Northern Europe"",""Scandinavia"",""Baltic States""]","[""Spring"",""Summer"",""Autumn""]",40,30,20,48,"[""Nitrogen-rich fertilizer"",""Potassium-rich fertilizer""]",4,12,12,0.5,tammenlehtisalaatti
Flowering Plant,Tarhaherne,25,5,20,0.3,2,3000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Tropical Regions"",""Subtropical Regions""]","[""Start of Summer"",""Rainy Season""]",40,38,20,24,"[""NPK fertilizers"",""Organic compost""]",4,24,12,1,tarhaherne
Flowering plant,Tarhaidänunikko,18,5,15,0.25,3,3600,60,"[""Loam"",""Sandy loam""]","[""Northern Europe"",""North America""]","[""Late spring"",""Summer""]",40,30,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,24,12,0.5,tarhaidänunikko
Tarhaillakko,Tarhaillakko,20,5,18,0.3,3,6000,70,"[""sandy loam"",""clay loam"",""silt loam""]","[""region A"",""region B"",""region C""]","[""Summer"",""Autumn""]",30,35,20,48,"[""NPK fertilizers"",""compost""]",4,24,12,1,tarhaillakko
Flowering plant,Tarhakehäkukka,20,5,18,0.3,4,3600,50,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Northern Europe"",""Scandinavia"",""Baltic countries""]","[""Late spring"",""Summer""]",30,35,20,24,"[""Organic compost"",""Slow-release granular fertilizer""]",4,24,12,1,tarhakehäkukka
Ornamental Plant,Tarhakurjenmiekka,20,5,18,0.4,3,6000,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Europe"",""North America"",""Asia""]","[""Start of Spring"",""Late Summer"",""Early Autumn""]",40,35,20,48,"[""NPK 10-10-10"",""Organic Compost""]",4,36,12,4,tarhakurjenmiekka
Flowering Plant,Tarhakurtturuusu,25,10,18,0.4,5,6000,60,"[""Loamy"",""Sandy""]","[""Temperate regions"",""Coastal areas""]","[""Late spring"",""Summer""]",30,35,50,48,"[""Organic compost"",""Slow-release granular fertilizer""]",4,24,12,1,tarhakurtturuusu
Flowering Plant,Tarhakylmänkukka,20,5,15,0.3,2,3600,50,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Northern Europe"",""Scandinavia"",""Russia""]","[""Late Spring"",""Summer"",""Early Autumn""]",40,30,20,48,"[""NPK 10-10-10"",""Organic Compost""]",4,24,12,2,tarhakylmänkukka
Flowering Plant,Tarhamaltsa,25 °C,5 mm,20 °C,0.3 m³/m³,3 mm/day,10 seconds,60%,"[""Sandy loam"",""Loam"",""Clay loam""]","[""Tropical regions"",""Subtropical regions""]","[""Summer"",""Monsoon""]",30 km/h,35 °C,50 mm,48 hours,"[""NPK fertilizer"",""Organic compost""]",4 weeks,24 in,36 in,2 in,tarhamaltsa
Fruit Tree,Tarhaomenapuu,15,5,18,0.3,3,3600,60,"[""Loam"",""Sandy Loam""]","[""Northern Europe"",""Scandinavia""]","[""Late Spring"",""Summer""]",40,35,50,48,"[""NPK 10-10-10"",""Organic compost""]",4,144,100,6,tarhaomenapuu
Perennial,Tarhapioni,25,5,20,0.3,3,3000,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Temperate regions"",""Coastal areas""]","[""Late spring"",""Summer"",""Early autumn""]",30,35,20,24,"[""NPK fertilizer"",""Organic compost""]",4,24,36,0.5,tarhapioni
Perennial,Tarharaparperi,25,10,20,0.4,5,30000,60,"[""Loam"",""Clay""]","[""Tropical regions"",""Subtropical regions""]","[""Year-round""]",40,35,50,48,"[""Organic compost"",""Slow-release fertilizer""]",4,36,24,1,tarharaparperi
Tarhasalkoruusu,Tarhasalkoruusu,20,5,18,0.3,3,30000,60,"[""sandy loam"",""clay loam"",""silt loam""]","[""temperate regions"",""coastal areas""]","[""Start of summer""]",50,35,10,48,"[""nitrogen-based fertilizer"",""phosphorus-based fertilizer""]",4,36,24,0.5,tarhasalkoruusu
Flowering Plant,Tarhasaurikki,25,5,20,0.3,3,6000,60,"[""Loam"",""Sandy Loam"",""Clay""]","[""Tropical Regions"",""Subtropical Regions""]","[""Summer""]",40,35,20,12,"[""NPK 10-10-10"",""Organic Compost""]",4,36,20,1,tarhasaurikki
Flowering plant,Tarhasoljo,22,5,18,0.25,3,6000,70,"[""Loam"",""Clay"",""Sandy""]","[""Region A"",""Region B"",""Region C""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""NPK"",""Compost"",""Bone Meal""]",4,36,12,2,tarhasoljo
Perennial,Tarhaukonhattu,18,5,15,0.4,3,24000,70,"[""Loamy"",""Sandy""]","[""Northern Europe"",""North America""]","[""Summer""]",40,30,20,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,36,12,0.2,tarhaukonhattu
Cereal,Tattari,20,5,15,0.2,3,3600,70,"[""Loam"",""Sandy loam"",""Clay loam""]","[""North America"",""Europe"",""Asia""]","[""Spring"",""Summer""]",40,35,20,48,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4,36,24,2,tattari
Perennial,Tellima,18,5,15,0.3,3,6000,70,"[""Loamy soil"",""Sandy soil""]","[""North America"",""Europe""]","[""Spring"",""Summer""]",35,30,20,48,"[""Organic compost"",""Slow-release fertilizer""]",4,20,12,0.5,tellima
Flowering Plant,Tilli,25,5,20,0.3,3,10000,60,"[""Loam"",""Sandy Loam"",""Clay Loam""]","[""Temperate regions"",""Subtropical regions""]","[""Summer"",""Monsoon""]",30,35,20,48,"[""NPK fertilizer"",""Organic compost""]",4,24,12,1,tilli
Perennial,Timjami,20,5,18,0.3,3,18000,60,"[""Loam"",""Sandy loam"",""Clay loam""]","[""Mediterranean region"",""Western Europe"",""North America""]","[""Spring"",""Summer"",""Autumn""]",40,35,20,48,"[""NPK 10-10-10"",""Organic compost""]",4,12,24,0.2,timjami
Vegetable,Tomaatti 31,25,5,20,0.3,3,3600,60,"[""loamy"",""sandy""]","[""Mediterranean"",""Temperate""]","[""Spring"",""Summer""]",30,35,20,48,"[""NPK 10-10-10"",""Compost""]",4,60,12,0.5,"tomaatti 31,"
Perennial,Tulikellukka,15,5,12,0.3,3,18000,70,"[""Sandy loam"",""Clay loam"",""Silt loam""]","[""Scandinavia"",""Northern Europe"",""North America""]","[""Spring"",""Summer""]",40,30,20,48,"[""Slow-release granular fertilizer"",""Compost tea""]",4,12,36,1,tulikellukka
Perennial,Tummapärskäjuuri,18.5,5.2,16.8,0.35,3.8,23500,65,"[""Loamy"",""Sandy""]","[""Northern Europe"",""Scandinavia""]","[""Late Spring"",""Summer""]",45,30,15,48,"[""Organic compost"",""Liquid seaweed fertilizer""]",4,36,12,0.5,tummapärskäjuuri
